street_predir,street_name,street_suffix,street_postdir
E,JOHNSON,ST,
W,JOHNSON,ST,
E,JUNIATA,ST,
W,JUNIATA,ST,
N,JUNIPER,ST,
S,JUNIPER,ST,
E,KESWICK,RD,
S,KESWICK,RD,
W,KESWICK,RD,
E,KINGS OAK,LN,
N,KINGS OAK,LN,
S,KINGS OAK,LN,
W,KINGS OAK,LN,
W,KINGSLEY,ST,
N,LAMBERT,ST,
S,LAMBERT,ST,
W,LAUREL,AVE,
W,LAVEER,ST,
N,LAWRENCE,ST,
S,LAWRENCE,ST,
N,LEE,ST,
S,LEE,ST,
E,LEHIGH,AVE,
W,LEHIGH,AVE,
N,LEITHGOW,ST,
S,LEITHGOW,ST,
N,LEMON HILL,DR,
E,LETTERLY,ST,
W,LETTERLY,ST,
N,LINDENWOOD,ST,
S,LINDENWOOD,ST,
E,LIPPINCOTT,ST,
W,LIPPINCOTT,ST,
S,LLOYD,CT,
E,LOGAN,ST,
W,LOGAN,ST,
E,LOUDON,ST,
W,LOUDON,ST,
E,LURAY,ST,
W,LURAY,ST,
E,LUZERNE,ST,
W,LUZERNE,ST,
E,LYCOMING,ST,
W,LYCOMING,ST,
E,MADISON,ST,
W,MADISON,ST,
N,MARGINAL,RD,
N,MARKOE,ST,
S,MARKOE,ST,
N,MARSHALL,ST,
S,MARSHALL,ST,
N,MARSTON,ST,
S,MARSTON,ST,
N,MARVINE,ST,
S,MARVINE,ST,
N,MAY,ST,
S,MAY,ST,
E,MAYFIELD,ST,
W,MAYFIELD,ST,
E,MEADE,ST,
W,MEADE,ST,
S,MELVILLE,ST,
E,MEMORIAL HALL,DR,
W,MEMORIAL HALL,DR,
E,MENTOR,ST,
W,MENTOR,ST,
E,MERMAID,LN,
W,MERMAID,LN,
S,MILDRED,ST,
N,MILLICK,ST,
S,MILLICK,ST,
E,MIMI,CIR,
W,MIMI,CIR,
N,MOLE,ST,
S,MOLE,ST,
E,MONMOUTH,ST,
W,MONMOUTH,ST,
E,MONTGOMERY,AVE,
W,MONTGOMERY,AVE,
E,MORELAND,AVE,
W,MORELAND,AVE,
E,MOUNT AIRY,AVE,
W,MOUNT AIRY,AVE,
E,MOUNT PLEASANT,AVE,
N,MOUNT PLEASANT,AVE,
W,MOUNT PLEASANT,AVE,
N,MOUNT PLEASANT,RD,
S,MOUNT PLEASANT,RD,
E,MOYAMENSING,AVE,
W,MOYAMENSING,AVE,
N,MYRTLEWOOD,ST,
S,MYRTLEWOOD,ST,
N,NAPA,ST,
S,NAPA,ST,
N,NATRONA,ST,
S,NATRONA,ST,
E,NEDRO,AVE,
W,NEDRO,AVE,
E,NETHERFIELD,RD,
W,NETHERFIELD,RD,
E,NEVADA,ST,
W,NEVADA,ST,
N,NEWKIRK,ST,
S,NEWKIRK,ST,
E,NORRIS,ST,
W,NORRIS,ST,
E,NORTHWESTERN,AVE,
W,NORTHWESTERN,AVE,
N,NORWOOD,ST,
S,NORWOOD,ST,
E,OAKDALE,ST,
W,OAKDALE,ST,
E,OLNEY,AVE,
W,OLNEY,AVE,
E,ONTARIO,ST,
W,ONTARIO,ST,
N,OPAL,ST,
S,OPAL,ST,
N,ORIANNA,ST,
S,ORIANNA,ST,
N,ORKNEY,ST,
S,ORKNEY,ST,
E,ORLEANS,ST,
W,ORLEANS,ST,
E,OXFORD,ST,
W,OXFORD,ST,
E,PACIFIC,ST,
W,PACIFIC,ST,
E,PALMER,ST,
W,PALMER,ST,
N,PARK,AVE,
E,PASSYUNK,AVE,
W,PASSYUNK,AVE,
E,PASTORIUS,ST,
W,PASTORIUS,ST,
N,PATTON,ST,
S,PATTON,ST,
N,PAXON,ST,
S,PAXON,ST,
N,PEACH,ST,
S,PEACH,ST,
S,PENN,SQ,
E,PENN,ST,
N,PENN,ST,
W,PENN,ST,
N,PERCY,ST,
S,PERCY,ST,
N,PERTH,ST,
S,PERTH,ST,
E,PHIL ELLENA,ST,
W,PHIL ELLENA,ST,
N,PHILIP,ST,
S,PHILIP,ST,
E,PIKE,ST,
W,PIKE,ST,
E,PLEASANT,PL,
N,PLEASANT,PL,
S,PLEASANT,PL,
E,POMONA,ST,
W,POMONA,ST,
N,PRESTON,ST,
S,PRESTON,ST,
E,PRICE,ST,
W,PRICE,ST,
E,QUEEN,LN,
W,QUEEN,LN,
N,RANDOLPH,DR,
N,RANDOLPH,ST,
S,RANDOLPH,ST,
E,RAYMOND,ST,
W,RAYMOND,ST,
N,REDFIELD,ST,
S,REDFIELD,ST,
N,REESE,ST,
S,REESE,ST,
N,RINGGOLD,ST,
S,RINGGOLD,ST,
W,RITTENHOUSE,SQ,
E,RITTENHOUSE,ST,
W,RITTENHOUSE,ST,
N,ROBINSON,ST,
S,ROBINSON,ST,
E,ROCKLAND,ST,
W,ROCKLAND,ST,
E,ROOSEVELT,BLVD,
W,ROOSEVELT,BLVD,
E,ROOSEVELT BLVD,RAMP,
W,ROOSEVELT BLVD,RAMP,
W,ROOSEVELT BLVD RAMP B,,
W,ROOSEVELT BLVD RAMP C,,
E,ROOSEVELT BLVD RAMP D,,
W,ROOSEVELT BLVD RAMP F,,
W,ROOSEVELT BLVD RAMP G,,
E,ROOSEVELT BLVD RAMP H,,
W,ROOSEVELT BLVD RAMP H,,
W,ROOSEVELT BLVD RAMP J,,
W,ROOSEVELT BLVD RAMP K,,
W,ROOSEVELT BLVD RAMP L,,
W,ROOSEVELT BLVD RAMP M,,
W,ROOSEVELT BLVD RAMP O,,
N,ROSEWOOD,ST,
S,ROSEWOOD,ST,
N,RUBY,ST,
S,RUBY,ST,
E,RUSCOMB,ST,
